Epoch;Batch;Loss;Grad_Norm;Bias;Batch_Time_Seconds
1;1;2.098293709263028;0.2957962155342102;-0.04999999329447746;2104.29
1;2;2.4191309999440946;0.004130333662033081;-0.0662088543176651;1883.15
1;3;1.5301985302055783;0.34647756814956665;-0.06889244168996811;285.23
1;4;2.1085057370654843;0.270272433757782;-0.06990731507539749;3729.47
1;5;2.113191005135538;0.8818330764770508;-0.04602542519569397;622.93
2;1;1.9255099272101337;0.6542799472808838;-0.03653675690293312;249.94
2;2;2.425730984428264;0.23718991875648499;-0.023749683052301407;246.74
2;3;2.0480523921484233;0.026223808526992798;-0.00453593023121357;463.38
2;4;1.7976303851793927;0.4707663357257843;0.018446069210767746;260.01
2;5;2.0356102294926037;0.12512779235839844;0.038000307977199554;249.8
3;1;2.022899923937587;0.2643636167049408;0.05115630850195885;393.02
3;2;1.774614873407654;1.8615667819976807;0.04026799276471138;251.73
3;3;2.1786422697977574;1.3595507144927979;0.04689858853816986;730.43
3;4;2.1743080396866494;0.6125605702400208;0.045362237840890884;248.7
3;5;2.0912817348912407;0.5638934969902039;0.05127763748168945;248.13
4;1;2.2619545083674915;0.8629988431930542;0.05226763337850571;363.78
4;2;2.0412559041498106;0.4269089102745056;0.05567986145615578;248.16
4;3;2.0581417636224737;0.24335263669490814;0.05399809032678604;819.26
4;4;1.668143957236686;0.0015020249411463737;0.05422272905707359;457.45
4;5;2.1736202504426645;0.5969083309173584;0.05869865417480469;566.04
5;1;1.6244694416646894;0.13135740160942078;0.0658416822552681;459.06
5;2;2.0307749640992827;0.5651078820228577;0.06964647769927979;266.83
5;3;1.8394306366678517;0.17556552588939667;0.0749075785279274;248.9
5;4;2.420082935319826;0.6811883449554443;0.07385377585887909;248.81
5;5;2.184028390694728;0.055794522166252136;0.07709969580173492;442.49
6;1;1.8414277809667512;0.5408267974853516;0.08234278112649918;794.27
6;2;2.1165585108804423;0.09854049235582352;0.08775053173303604;248.81
6;3;1.9196669440380907;0.5559802055358887;0.08864114433526993;244.65
6;4;2.008063916127552;0.39734983444213867;0.08950350433588028;622.08
6;5;2.041914579098816;0.37450554966926575;0.09402336180210114;827.88
7;1;2.109267124711575;0.06197007745504379;0.10163150727748871;351.73
7;2;2.2607940429194193;0.8928117752075195;0.1077413260936737;256.26
7;3;1.7640565203832335;0.19195586442947388;0.11452886462211609;247.54
7;4;1.7661379674497606;0.38587886095046997;0.12313833832740784;247.67
7;5;1.7048251642329604;0.3124260902404785;0.13074706494808197;249.61
8;1;1.797784200523474;0.6620751023292542;0.13953755795955658;265.26
8;2;2.1811160130759126;0.33962392807006836;0.15416917204856873;248.34
8;3;1.7301591434357368;1.2665488719940186;0.16020408272743225;253.3
8;4;1.4934528289607485;0.5711697340011597;0.16967935860157013;267.28
8;5;1.778493029046404;0.10996842384338379;0.1811653971672058;328.79
9;1;1.569830263744214;0.275373637676239;0.20004543662071228;246.2
9;2;1.7472992483940701;1.1656296253204346;0.21520647406578064;259.59
9;3;1.638845386723985;0.6397337317466736;0.22977274656295776;246.25
9;4;1.6415047201866817;1.0779112577438354;0.24153900146484375;257.38
9;5;1.4034736850049723;0.3032100200653076;0.25417184829711914;251.15
10;1;1.401308316702023;1.6610801219940186;0.2566395103931427;252.2
10;2;1.4684245287631132;0.7228966355323792;0.2608177959918976;248.4
10;3;1.35701937120087;0.5447607636451721;0.2702077329158783;325.97
10;4;1.2866002223334634;0.9339354038238525;0.2755296230316162;601.5
10;5;1.2124973628761944;0.724945068359375;0.27782562375068665;1263.15
11;1;1.2045594478149162;0.7863768935203552;0.28082188963890076;475.06
11;2;1.1850819052618145;0.7405169010162354;0.2771865427494049;245.87
11;3;1.1172993802680824;0.35849401354789734;0.2785007953643799;248.86
11;4;1.1307643305547808;0.625027060508728;0.2779853940010071;995.95
11;5;1.0877443737063544;0.48254212737083435;0.27678054571151733;405.06
12;1;1.064198682168417;0.36762839555740356;0.27534109354019165;244.54
12;2;0.9856988000781692;0.22218485176563263;0.27735844254493713;252.07
12;3;1.103367970178838;0.44348713755607605;0.2736729681491852;251.46
12;4;1.110582997139212;0.14763149619102478;0.2644388973712921;251.89
12;5;1.1300926576673072;0.19185659289360046;0.24791939556598663;247.64
13;1;0.8714852381803236;0.1005057618021965;0.2383841723203659;248.74
13;2;1.1121732976643577;0.12615063786506653;0.2224188596010208;628.72
13;3;1.0906168763515158;0.09603551775217056;0.20174136757850647;969.1
13;4;1.1130379689301346;0.008074689656496048;0.1757795661687851;250.42
13;5;1.053203592567392;0.1204070970416069;0.1474589705467224;247.94
14;1;1.0926779231289163;0.07550767064094543;0.11501573026180267;257.03
14;2;1.0139616838091403;0.07734118402004242;0.08364589512348175;313.16
14;3;1.023988054460582;0.09866468608379364;0.05243417248129845;248.18
14;4;1.019796845123267;0.0842345729470253;0.021601755172014236;246.12
14;5;0.9921341233186484;0.1583343744277954;-0.008282087743282318;254.75
15;1;1.0459131435204068;0.1465298980474472;-0.0446593277156353;724.7
15;2;0.990017272453254;0.2231268584728241;-0.07751904428005219;257.76
15;3;1.04222431710062;0.18782980740070343;-0.10893911123275757;252.49
15;4;1.0180841132987752;0.14235694706439972;-0.13590951263904572;683.5
15;5;1.0365193640486567;0.1501733809709549;-0.15472088754177094;247.78
