Epoch;Batch;Loss;Grad_Norm;Bias;Batch_Time_Seconds
1;1;1.3025854495487252;0.5924416184425354;-0.04999999329447746;410.19
1;2;1.1039328309221799;0.4234292805194855;-0.09691476076841354;440.46
1;3;1.0423977537402715;0.6619169116020203;-0.1450430154800415;436.2
1;4;1.0402462242800292;0.6664403080940247;-0.19373920559883118;388.06
1;5;0.99059183934507;0.663331151008606;-0.24289298057556152;401.3
2;1;0.8547377549055265;0.6872319579124451;-0.29050153493881226;532.62
2;2;0.6939190633662646;0.48528382182121277;-0.33581990003585815;551.5
2;3;0.6319659940419403;0.5129034519195557;-0.38124173879623413;498.51
2;4;0.895830399484384;0.2178880274295807;-0.41445496678352356;399.99
2;5;0.7830390296233658;0.18211255967617035;-0.43077734112739563;595.69
3;1;0.7440378762791798;0.2070305347442627;-0.43874603509902954;397.36
3;2;0.8357033687818046;0.4991256296634674;-0.43360263109207153;392.09
3;3;0.8589623443221044;0.47429394721984863;-0.41921743750572205;394.35
3;4;0.682925774544795;0.2563471794128418;-0.4034431576728821;526.11
3;5;0.9021714676063456;0.7495191097259521;-0.37957242131233215;591.86
4;1;0.5673040499423332;0.20185770094394684;-0.3538267910480499;399.9
4;2;0.7294437266691209;0.392473042011261;-0.3249596953392029;393.75
4;3;0.7123214295793874;0.23267555236816406;-0.2971896231174469;399.18
4;4;0.7285885673095112;0.20878906548023224;-0.26859015226364136;470.25
4;5;0.6576714043952778;0.3774920105934143;-0.23755499720573425;362.7
5;1;0.6739076013121771;0.3017042279243469;-0.20482821762561798;358.34
5;2;0.6667937619767157;0.13577905297279358;-0.17324477434158325;355.58
5;3;0.6048325901518976;0.33267226815223694;-0.14737354218959808;356.6
5;4;0.7868688793517423;0.44314393401145935;-0.12868863344192505;352.3
5;5;0.7814193044321167;0.24648752808570862;-0.1117190420627594;345.7
6;1;0.9058072298555362;0.4386405646800995;-0.10136765986680984;712.13
6;2;0.4341723427536273;0.2834562063217163;-0.09047111868858337;534.54
6;3;0.7150196430561593;0.5092524886131287;-0.08695527166128159;5378.53
6;4;0.7949857573279437;0.32504600286483765;-0.08686483651399612;512.31
6;5;0.6269722311156701;0.11250709742307663;-0.08359131217002869;383.2
7;1;0.5703307103519584;0.040857139974832535;-0.07947554439306259;555.03
7;2;0.7880071242994718;0.4238867163658142;-0.08015638589859009;395.12
7;3;0.7267185473421681;0.3999251425266266;-0.07592322677373886;479.79
7;4;0.6514137863523226;0.22055259346961975;-0.07457491755485535;602.05
7;5;0.628134833238668;0.29281309247016907;-0.07457274943590164;414.24
8;1;0.6627181376115097;0.2670433819293976;-0.07608068734407425;416.56
8;2;0.5297063381288684;0.11450261622667313;-0.07665403187274933;456.76
8;3;0.7340056562694115;0.3763367235660553;-0.07190142571926117;530.48
8;4;0.7499413536783779;0.16801568865776062;-0.06825454533100128;441.77
8;5;0.7275247968042684;0.37501662969589233;-0.06196899339556694;5236.72
9;1;0.6580368078317409;0.17100468277931213;-0.05486096814274788;914.03
9;2;0.7824852826771792;0.17074143886566162;-0.04646395519375801;36953.48
9;3;0.7255667346692014;0.1696663796901703;-0.03674234449863434;919.4
9;4;0.6591369986261855;0.33693796396255493;-0.03237162530422211;539.22
9;5;0.692084690558418;0.3090587854385376;-0.025603335350751877;2684.79
10;1;0.6703522729819249;0.27288463711738586;-0.021505003795027733;407.3
10;2;0.6994002021681008;0.17530199885368347;-0.01941760443150997;2242.86
10;3;0.6107741797995527;0.25242912769317627;-0.014302508905529976;416.27
10;4;0.6964740358976038;0.19655334949493408;-0.012922927737236023;422.27
10;5;0.6871028305412258;0.5754601955413818;-0.007626991719007492;3217.65
11;1;0.5797040638725396;0.07674554735422134;-0.003288065083324909;409.6
11;2;0.6260657482498054;0.46582576632499695;-0.007793414872139692;434.44
11;3;0.6557772572864441;0.37635526061058044;-0.004987953696399927;3008.71
11;4;0.6701368034901556;0.19073563814163208;-0.004163999576121569;665.79
11;5;0.8305088513960274;0.24654635787010193;-0.0021796368528157473;436.11
12;1;0.6475572521559494;0.21584448218345642;-0.002928398782387376;2405.91
12;2;0.6360496100011452;0.31849348545074463;-0.009018396958708763;463.62
12;3;0.7020833943722032;0.11779160797595978;-0.016658663749694824;457.99
12;4;0.6363548122651929;0.1126762107014656;-0.024655289947986603;2742.62
12;5;0.7613931049273739;0.4939933121204376;-0.021651268005371094;802.8
13;1;0.6389931673658685;0.3651609420776367;-0.01346259843558073;698.31
13;2;0.5036255398695444;0.09553481638431549;-0.007990621030330658;751.49
13;3;0.8042996448604331;0.43114450573921204;-0.01096341386437416;2459.06
13;4;0.686666255443066;0.11938440799713135;-0.011971416883170605;458.94
13;5;0.7435637272864932;0.15110637247562408;-0.011061491444706917;434.2
14;1;0.6809769699062838;0.2023155838251114;-0.014315836131572723;504.36
14;2;0.7593194543359869;0.22811120748519897;-0.016704782843589783;2614.85
14;3;0.5043230489502519;0.24754323065280914;-0.016919130459427834;524.87
14;4;0.7306177516411132;0.14729547500610352;-0.01827971637248993;450.04
14;5;0.6179156163837484;0.18692052364349365;-0.01956782303750515;440.73
15;1;0.6992289322179857;0.5538400411605835;-0.013004673644900322;427.49
15;2;0.6317524224007539;0.36864081025123596;-0.007109939586371183;433.66
15;3;0.7558665291879397;0.22115740180015564;-0.0037131516728550196;403.16
15;4;0.6259695671900672;0.6029617190361023;-0.009343964047729969;405.79
15;5;0.6696635666504465;0.205304354429245;-0.017170190811157227;410.27
