Epoch;Batch;Loss;Grad_Norm;Bias;Batch_Time_Seconds
1;1;1.4812567490642827;0.9336227178573608;0.049999985843896866;269.52
1;2;1.2894590315208876;0.26540684700012207;0.09130608290433884;273.2
1;3;1.2171124632619943;0.5932310223579407;0.13591259717941284;275.23
1;4;1.2091162117310605;0.7862961888313293;0.175733745098114;283.08
1;5;1.218407550375586;0.7370903491973877;0.21865926682949066;288.83
2;1;1.10101149410798;0.8214107751846313;0.26235416531562805;314.54
2;2;1.09324894257472;0.6696204543113708;0.3070055842399597;276.57
2;3;0.8714368217158716;0.6365366578102112;0.3521387577056885;293.69
2;4;0.9948504523385007;0.3242938816547394;0.38619765639305115;305.07
2;5;0.9365621749286535;0.7625329494476318;0.4036291837692261;289.68
3;1;0.8746865284647958;0.45595595240592957;0.4197602868080139;303.31
3;2;0.9595201349658422;0.48984766006469727;0.43085047602653503;288.93
3;3;0.809567906758415;0.1372743844985962;0.43029728531837463;281.3
3;4;0.7870692214061173;0.32832959294319153;0.4202124774456024;285.91
3;5;0.6483580326446658;0.41368985176086426;0.4089631736278534;302.12
4;1;0.5276663030550699;0.41309627890586853;0.3982093930244446;275.15
4;2;0.6974366359676488;0.2121863216161728;0.3906371593475342;315.85
4;3;0.8403616363888121;0.2661687135696411;0.37453359365463257;305.53
4;4;1.0717456154673797;0.508502185344696;0.3477827310562134;278.38
4;5;0.6761756390237808;0.1536572277545929;0.31823304295539856;307.65
5;1;0.9125853431888685;0.20114317536354065;0.285979688167572;306.4
5;2;0.6422342159982467;0.09636752307415009;0.25545111298561096;278.48
5;3;0.556493241734372;0.07177944481372833;0.2255922555923462;1077.59
5;4;0.7906522862844572;0.49685126543045044;0.18956755101680756;316.4
5;5;0.6159627291522138;0.1448577493429184;0.15840063989162445;1763.62
6;1;0.7384542724355541;0.09794110059738159;0.12977106869220734;273.28
6;2;0.7705051891632992;0.3391091525554657;0.10476357489824295;297.42
6;3;0.6981879980024077;0.29510724544525146;0.07926452904939651;384.75
6;4;0.6094724205960802;0.06239132583141327;0.05485280603170395;641.96
6;5;0.5552875831298282;0.07276053726673126;0.03173275291919708;327.68
7;1;0.631251834955222;0.252336323261261;0.015126504004001617;459.57
7;2;0.5544415295239624;0.28115150332450867;-0.0009385161101818085;346.39
7;3;0.8874178835938737;0.351347953081131;-0.011527209542691708;462.77
7;4;0.5066339062785482;0.08105999231338501;-0.023983275517821312;303.96
7;5;0.8199740599666192;0.15745945274829865;-0.03318119794130325;345.1
8;1;0.7656593108812263;0.13278178870677948;-0.04484731703996658;320.22
8;2;0.717884956200428;0.31425103545188904;-0.05119035765528679;461.63
8;3;0.6161281000178102;0.16333581507205963;-0.05457237735390663;295.51
8;4;0.6615569612842307;0.23917962610721588;-0.053099166601896286;350.85
8;5;0.6347169046399788;0.09332924336194992;-0.05087560415267944;266.16
9;1;0.7011718425395619;0.278359979391098;-0.04456949234008789;695.42
9;2;0.5446551826428212;0.16776737570762634;-0.04124469310045242;276.29
9;3;0.8059121434878853;0.04436926543712616;-0.03748614713549614;276.63
9;4;0.5281065277601287;0.2453104555606842;-0.03424840047955513;272.13
9;5;0.8114394482739149;0.21019871532917023;-0.03283070772886276;277.74
10;1;0.9503311767139261;0.2765691578388214;-0.02620301954448223;293.83
10;2;0.6066269031699463;0.17277897894382477;-0.02372085489332676;270.45
10;3;0.7346151710920854;0.1025957390666008;-0.02341696247458458;281.34
10;4;0.4814356077754359;0.26894092559814453;-0.028296049684286118;277.2
10;5;0.6320124861316432;0.1889767348766327;-0.03374078869819641;279.14
11;1;0.711624469028683;0.28881287574768066;-0.04446403682231903;283.07
11;2;0.6717574747392869;0.21526722609996796;-0.05029433220624924;285.22
11;3;0.6556969388206393;0.05327033996582031;-0.053513262420892715;517.3
11;4;0.5875799238140129;0.10644388943910599;-0.05622054636478424;474.24
11;5;0.7585501177981979;0.23360145092010498;-0.06255108118057251;295.62
12;1;0.7389637804297154;0.1936952918767929;-0.06928776949644089;287.87
12;2;0.8396135110606151;0.19419929385185242;-0.07492147386074066;550.36
12;3;0.7094132398524038;0.11189091950654984;-0.08093591034412384;958.7
12;4;0.512590262130078;0.1209772601723671;-0.08426707237958908;384.14
12;5;0.5824669326770398;0.04279021918773651;-0.08549174666404724;1827.56
13;1;0.5338979465056792;0.35958513617515564;-0.09482108801603317;603.45
13;2;0.7448961312192679;0.15057307481765747;-0.10027889162302017;2045.01
13;3;0.7440694702311298;0.17471055686473846;-0.10065725445747375;447.76
13;4;0.6542643361309104;0.23492170870304108;-0.09493731707334518;2932.26
13;5;0.7187467775502409;0.0944068655371666;-0.08676016330718994;851.9
14;1;0.5548191522355014;0.13971315324306488;-0.07752775400876999;433.84
14;2;0.5873256476138475;0.12444806098937988;-0.06654643267393112;1481.16
14;3;0.7982953551521629;0.4233144223690033;-0.04787290096282959;913.01
14;4;0.8061687805321508;0.2400684505701065;-0.036461327224969864;4397.45
14;5;0.6515433543088684;0.31161320209503174;-0.032063450664281845;514.63
15;1;0.46724053453967906;0.177460715174675;-0.024325676262378693;428.74
15;2;0.6625983722493913;0.20679277181625366;-0.01826421171426773;1079.85
15;3;0.7912159099535361;0.19590535759925842;-0.016955416649580002;6959.5
15;4;0.7910769546320243;0.10008525103330612;-0.01711135171353817;423.87
15;5;0.6740657086751198;0.1191210225224495;-0.020125335082411766;528.56
