Epoch;Batch;Loss;Grad_Norm;Bias;Batch_Time_Seconds
1;1;0.7822700297641417;0.6561190485954285;-0.04999999329447746;511.49
1;2;0.5083324701554626;0.4775957465171814;-0.054240018129348755;419.32
1;3;0.4930398562812637;0.1885286271572113;-0.037774160504341125;381.31
1;4;0.5261142650143931;0.14166909456253052;-0.008113155141472816;463.16
1;5;0.668513929933272;0.1914641261100769;-0.0057719191536307335;419.45
2;1;0.6013084097287251;0.037775058299303055;0.0009707612916827202;413.57
2;2;0.7024108811887254;0.05112157389521599;0.0007651421474292874;581.36
2;3;0.6288596478608808;0.05595417320728302;0.011080542579293251;378.86
2;4;0.5832065917092211;0.06209384649991989;0.008764766156673431;382.3
2;5;0.5504597619346828;0.2800261080265045;0.0042434390634298325;377.07
3;1;0.7442583045338828;0.30977073311805725;-0.012322774156928062;970.41
3;2;0.43931601218610145;0.1093280240893364;-0.018226858228445053;417.65
3;3;0.5384873982092189;0.116236612200737;-0.015689028427004814;405.71
3;4;0.7506047005780683;0.14374993741512299;-0.017902405932545662;387.94
3;5;0.6291259909945586;0.17648960649967194;-0.01960025727748871;391.7
4;1;0.6268002271292249;0.17604808509349823;-0.023809146136045456;369.8
4;2;0.6884777916093854;0.32542675733566284;-0.03191386163234711;574.97
4;3;0.5655848651696732;0.15325453877449036;-0.03588109463453293;361.92
4;4;0.5770449641698838;0.1867956966161728;-0.037792496383190155;369.35
4;5;0.6183694727365857;0.05906219780445099;-0.033924829214811325;508.36
5;1;0.6642828626648496;0.16351766884326935;-0.03595247119665146;371.04
5;2;0.5850632238675871;0.048731643706560135;-0.03816656395792961;372.26
5;3;0.4823275372975143;0.05654829740524292;-0.03667650371789932;391.14
5;4;0.5941698240298607;0.12590569257736206;-0.029051119461655617;477.32
5;5;0.7438092288563354;0.2802390158176422;-0.021566901355981827;382.84
6;1;0.5317886192918548;0.05702638253569603;-0.015780223533511162;658.41
6;2;0.6855143788237565;0.1590779572725296;-0.017781320959329605;808.07
6;3;0.6033292150298313;0.05979616567492485;-0.013596481643617153;558.74
6;4;0.6816695069364125;0.1802610158920288;-0.01485650334507227;387.62
6;5;0.5461546430758786;0.13490594923496246;-0.008295759558677673;371.81
7;1;0.6103369662585302;0.07383505254983902;-0.010150969959795475;377.77
7;2;0.4940810063459666;0.07023053616285324;-0.004801268223673105;375.67
7;3;0.6139460713405386;0.26120710372924805;0.0035008355043828487;509.36
7;4;0.6397454124200219;0.0691365972161293;0.004704971797764301;383.35
7;5;0.694909645582362;0.34460020065307617;0.006971300579607487;398.5
8;1;0.5571482577388543;0.060143742710351944;0.0046244035474956036;402.38
8;2;0.579199116575006;0.28954535722732544;0.0063864681869745255;441.11
8;3;0.6451626635771509;0.1512748748064041;0.007720849942415953;568.59
8;4;0.6835369887193767;0.24131372570991516;0.006132264621555805;5729.16
8;5;0.8180753218682194;0.44566699862480164;-0.0055572958663105965;863.8
9;1;0.5932880065385566;0.3358040153980255;-0.019426845014095306;2434.97
9;2;0.4902840499541613;0.0617106556892395;-0.026575684547424316;1653.31
9;3;0.6141935990310059;0.15225090086460114;-0.0330524779856205;807.95
9;4;0.6785011427093957;0.08727414906024933;-0.035901520401239395;320.66
9;5;0.6664813960079479;0.0630083680152893;-0.04061579331755638;319.62
10;1;0.40620363722046854;0.04836418479681015;-0.040234655141830444;1196.62
10;2;0.7470228326802155;0.1352999359369278;-0.042512353509664536;802.45
10;3;0.6596248914039435;0.11473743617534637;-0.04171118512749672;766.3
10;4;0.7287920578049669;0.4850305914878845;-0.04251085966825485;943.87
10;5;0.5104214863588631;0.09062981605529785;-0.03405574709177017;455.75
11;1;0.5069867453686824;0.25693193078041077;-0.017974650487303734;343.34
11;2;0.8906406014160614;0.6251863837242126;-0.022235967218875885;322.21
11;3;0.5630919603884024;0.06793996691703796;-0.023078465834259987;683.26
11;4;0.5951828361436544;0.18081827461719513;-0.017503809183835983;337.42
11;5;0.4975900621679353;0.1485084742307663;-0.010444668121635914;572.8
12;1;0.5566678838573929;0.06019788235425949;-0.004319617059081793;332.24
12;2;0.7259778819884062;0.12877875566482544;-0.0074914973229169846;317.62
12;3;0.45227628456300617;0.04840538278222084;-0.007872015237808228;348.76
12;4;0.7239483619473434;0.07771538943052292;-0.0055639417842030525;320.05
12;5;0.5876536484074938;0.32966527342796326;-0.0008525438606739044;966.24
13;1;0.6441309093152786;0.0650491937994957;0.005204916466027498;376.78
13;2;0.6835811396101475;0.08255473524332047;0.010407105088233948;320.15
13;3;0.6101983954531838;0.03942365571856499;0.017414750531315804;328.98
13;4;0.7188086467064759;0.1270786076784134;0.012436481192708015;318.97
13;5;0.3921692959044514;0.02717730402946472;0.010847991332411766;321.88
14;1;0.4680923555876472;0.37012606859207153;0.016390658915042877;1193.74
14;2;0.4280279220785095;0.0784163549542427;0.019723793491721153;336.39
14;3;0.765296292992483;0.46788257360458374;0.018935995176434517;420.8
14;4;0.623798961179185;0.06251604110002518;0.01420002430677414;476.19
14;5;0.7540349010032685;0.30218979716300964;0.0064912959933280945;315.02
15;1;0.666787478044327;0.2502656579017639;0.0007564900442957878;442.31
15;2;0.48926968130793075;0.08731990307569504;-0.003887683618813753;323.31
15;3;0.6284056699130264;0.3441712558269501;-0.010441258549690247;327.94
15;4;0.6808272754380894;0.29644691944122314;-0.01654660329222679;318.03
15;5;0.5944004097461659;0.3924184739589691;-0.023466050624847412;725.56
